"","id","rate","povertytotalrate","povertymale","povertyedu","povertyover16female","povertyover16male","povertyfemaleunemployed","povertymaleunemployed","povertyage16to17","povertyage18to24","povertyage25to34","povertyage35to44","occupationssales","occupationsservice","employedfemalerate","employedNoHI","unemployedpublicHI","medianagemale","medianagefemale","age15to19Female","age20to24Female","age25to29Female","age30to34Female","age15to19Male","age20to24Male","age25to29Male","age30to34Male","lessHSearning","HSearning","Collegeearning"
"1","10001",224,0.601254226,0.487896224166695,0.529432253570185,0.467631955551814,0.47320000481041,34.5,22.3,0.00156617071260767,0.107589118518266,0.176670865820027,0.0964897347723945,0.213522143551298,0.208574710032436,0.544743605602056,0.0668397144711226,0.0230619477861528,35.7,39.4,0.0650462170489558,0.0709324027343707,0.0676524831310532,0.0623295159633798,0.0711514043977169,0.0788527488697179,0.074723214391665,0.0633551280986342,25811,32050,35380
"2","10003",176.7,0.631664208,0.473430133886479,0.538274012676743,0.465122844708864,0.471685120916653,25.6,24.3,0.00201772581557609,0.113435791061663,0.216764095794833,0.123712992645672,0.220350851599256,0.165290491994602,0.583001305287484,0.0473090624214743,0.020770697530043,36.7,39.6,0.0648564432008328,0.0647691109224734,0.073488365593877,0.066138481047149,0.0700710380481274,0.0694759549224532,0.0786885855617957,0.0706958753300852,26565,33050,40726
"3","10005",134.9,0.551086011,0.452329804102092,0.579130434782609,0.454887474536789,0.495638359048334,31.9,24.7,0.0053194210014833,0.0497928494706153,0.130044499002609,0.10073653521559,0.229474072782831,0.184530828625042,0.492180332190878,0.0773802906036997,0.0173182016437325,47.6,50.5,0.0445756822943834,0.0446729318987543,0.0513035867422267,0.0492967085429357,0.0513393905796352,0.0533689126084056,0.0533971004143607,0.0540736077572842,26068,31196,35627
"4","1001",169.4,0.612453209,0.444651410324641,0.526715744478746,0.447139624439239,0.51058001508595,48.5,27.6,0.00106439595529537,0.0957956359765833,0.124268227780734,0.108302288451304,0.220983253191842,0.159384844967667,0.501513937127082,0.0587048931086909,0.00574017189487728,36.9,38.9,0.0649226858716374,0.0576149120948952,0.0690178634470098,0.0602626562169032,0.0750167448091092,0.063444221180323,0.063444221180323,0.0631465356850487,21940,29130,39389
"5","1003",99.2,0.584734225,0.433079133510168,0.618020597607722,0.461192408591572,0.494456058370225,31.5,24.9,0.00190649867374005,0.0763980990274094,0.129669540229885,0.0986958443854996,0.241049914863085,0.181100675740798,0.518869661266569,0.105376124284546,0.00729081493594985,41.8,44.1,0.0579317053096269,0.0500285262675483,0.0556589567803664,0.0542186140910409,0.0643653397636083,0.0537711981657904,0.0580503617029687,0.0563703205913745,24219,28165,31003
"6","1005",538.2,0.568953448,0.474841101694915,0.496437774746097,0.425814484332849,0.478937538908487,58.7,27.8,0,0.0317796610169492,0.163665254237288,0.113877118644068,0.198279816513761,0.14644495412844,0.420319541171651,0.0897596984451076,0.0198680697345689,38.1,43.4,0.0574265618535374,0.0572610674389739,0.0580057923045097,0.0576748034753827,0.0540264291450683,0.0705263926407242,0.0848360954953639,0.0814046871577718,22420,23136,29549
"7","1007",295.6,0.60289232,0.49683426443203,0.605658400279427,0.415096494233185,0.509763617677287,25.3,14.4,0.00223463687150838,0.0595903165735568,0.0931098696461825,0.104283054003724,0.189035683417706,0.18718360291394,0.425345190732506,0.0633779540571806,0.00859362088910924,37.5,43.1,0.0509879518072289,0.0769156626506024,0.0634216867469879,0.0504096385542169,0.081056616194865,0.0570276497695853,0.0739795918367347,0.08187952600395,21620,30582,35934
"8","1009",129.3,0.591482429,0.445427307747182,0.57360097323601,0.41806335654909,0.541091889463042,17.6,30.5,0.0017120844628335,0.051362533885005,0.10529319446426,0.0806106434584106,0.214044785908367,0.130047784128174,0.398287671232877,0.0711892038764605,0.00335114572955348,40.2,41.7,0.0588476943617131,0.05244599637123,0.059258498510835,0.0585738249289651,0.0702679890272209,0.0582753042132658,0.0586973341773933,0.058908349159457,25779,32767,38469
"9","1011",649.9,0.637400343,0.45480631276901,0.49903536977492,0.375395033860045,0.513995485327314,71.9,17.1,0.00215208034433285,0.0222381635581062,0.084648493543759,0.162840746054519,0.175380710659898,0.171065989847716,0.442994139584443,0.0612855007473842,0.0126224879588108,37.7,42.8,0.0609938153124334,0.0586478993388782,0.0588611644273832,0.0281509916826615,0.0858202366236977,0.0761080699276002,0.0752251456825004,0.0505032668197069,28082,28056,25625
"10","1013",307.7,0.58395494,0.465199286139203,0.559051724137931,0.496450544249882,0.436464742072882,52.1,41.8,0,0.0794170136823319,0.139500297441999,0.147531231409875,0.192136968928345,0.160431198478123,0.480696528812006,0.100008842514811,0.013617472809267,39.3,42.3,0.0605235995120578,0.0487003847236558,0.0592099089800131,0.0616496199680961,0.069064901793339,0.0591374893253629,0.0647950469684031,0.056468830059778,17530,24859,27688
"11","1015",260.6,0.609558764,0.489461939003223,0.556558912531822,0.432588017765578,0.480814319208555,41.8,41.1,0.00768658566823704,0.13582940738904,0.156707165881478,0.107513017604761,0.231679714267915,0.168532092945989,0.466365420790055,0.081812005199102,0.0178719130332034,38.1,40.9,0.062609772008765,0.0639646722312363,0.0683973704899386,0.0604686951139956,0.072855464159812,0.0687336165597035,0.0710114797071319,0.0611949742384525,17396,28270,31451
"12","1017",367.8,0.607922101,0.474645030425964,0.610377870186223,0.45324249630439,0.497075647535189,76.4,23.9,0.00171633640193478,0.0755188016851303,0.13761897331877,0.0987673584022468,0.195455160286758,0.159610442310294,0.484008236101579,0.0852623650514687,0.00697966357017324,41.3,44,0.0524218794467528,0.062439524161876,0.0609027263930787,0.0548693721896522,0.0639109306760165,0.0878390847019745,0.0466875807344529,0.0552377437411577,21141,26670,32721
